id,split,speaker,example_type,utterance,expected_route,alternate_routes,rationale
HC049,train,provider,positive,Which site of care can administer this infusion?,infusion_therapy,benefits,The request is infusion-site coordination.
HC050,train,member,positive,Who should I call to reschedule my infusion?,infusion_therapy,,The member requests infusion scheduling support.
HC051,validation,provider,positive,The dose changed; how do we update the infusion appointment?,infusion_therapy,,The provider asks to coordinate an infusion appointment.
HC052,validation,member,positive,Can I move my infusion from the hospital to an outpatient center?,infusion_therapy,benefits,The immediate requested action is changing the infusion site.
HC053,test,provider,positive,Has the infusion vendor confirmed delivery to our clinic?,infusion_therapy,pharmacy,The request concerns infusion-specific delivery coordination.
HC054,test,member,positive,My infusion is approved; when can the center schedule it?,infusion_therapy,prior_authorization,Approval is complete and the requested action is scheduling.
HC055,train,member,positive,How do I appeal the denial of my claim?,appeals,claims,The member explicitly asks to challenge a claim decision.
HC056,train,provider,positive,Where do we submit a reconsideration of the authorization denial?,appeals,prior_authorization,The provider requests formal reconsideration.
HC057,train,member,positive,I disagree with the benefit denial and want a review,appeals,benefits,The member asks to challenge an adverse benefit decision.
HC058,train,provider,positive,What is the deadline to file an appeal?,appeals,,The provider asks about the formal appeal process.
HC059,train,member,positive,Can I send more information for the appeal already in progress?,appeals,,The request concerns an existing appeal.
HC060,validation,provider,positive,Has the expedited appeal been assigned for review?,appeals,,The provider asks about appeal status.
HC061,validation,member,positive,Please reconsider the decision not to cover my medication,appeals,pharmacy,The member explicitly requests reconsideration.
HC062,test,provider,positive,How can the member authorize us to represent them in an appeal?,appeals,,The request concerns appeal representation.
HC063,test,member,positive,I want an independent review of the denied infusion,appeals,infusion_therapy,The requested action is review of an adverse decision.
HC064,train,other,negative,What time does the clinic open?,,,"Clinic hours are outside the seven administrative routes."
HC065,train,member,negative,I have chest pain and feel short of breath.,,,"A symptom report is clinical and must not be routed by this example."
HC066,train,provider,negative,What dose should this patient receive?,,,"Clinical dosing is outside the administrative taxonomy."
HC067,train,member,negative,Please help me reset my portal password.,,,"Portal technical support is out of scope."
HC068,train,other,negative,What is the weather tomorrow?,,,"General conversation is unrelated to healthcare administration."
HC069,train,member,negative,I need to update my mailing address.,,,"Member demographic maintenance is not represented by a route."
HC070,validation,provider,negative,How should I treat this condition?,,,"Treatment guidance is clinical and out of scope."
HC071,validation,member,negative,Can you recommend a primary care doctor?,,,"Provider search is not represented by a route."
HC072,validation,other,negative,I want to apply for a job at the hospital.,,,"Employment requests are out of scope."
HC073,test,member,negative,Can you explain these laboratory results?,,,"Interpreting results is clinical and outside the example."
HC074,test,provider,negative,How do I enroll our practice in the network?,,,"Provider enrollment is not one of the seven routes."
HC075,test,member,negative,Please send me a new insurance card.,,,"ID card fulfillment is outside the taxonomy."
HC076,validation,member,ambiguous,My infusion medication was denied.,,pharmacy|prior_authorization|claims|infusion_therapy|appeals,"A denial and product are mentioned, but the requested action and decision type are missing."
HC077,validation,provider,ambiguous,We need help with a member's coverage.,,eligibility|benefits,"Coverage could mean active enrollment or covered benefits."
HC078,validation,member,ambiguous,The pharmacy says there is a problem with my prescription.,,pharmacy|prior_authorization|benefits,"The problem could be dispensing, authorization, or coverage."
HC079,validation,provider,ambiguous,The plan did not approve the service.,,prior_authorization|claims|appeals,"It is unclear whether this is a pre-service decision, claim result, or request to appeal."
HC080,validation,member,ambiguous,I have a question about my bill and coverage.,,claims|benefits,"The request does not identify whether it concerns claim processing or plan benefits."
HC081,validation,provider,ambiguous,Can you help with an infusion issue?,,infusion_therapy|prior_authorization|pharmacy|claims,"No operational action is stated."
HC082,validation,member,ambiguous,I need to know whether I am covered.,,eligibility|benefits,"The user may mean active enrollment or the scope of benefits."
HC083,test,member,ambiguous,My infusion claim was denied; please tell me whether the claim was processed correctly.,claims,appeals|infusion_therapy,"The explicit action is reviewing claim processing, not filing an appeal."
HC084,test,provider,ambiguous,The member is active; what does the plan cover for this procedure?,benefits,eligibility,"Active status is known and the requested action is benefit explanation."
HC085,test,member,ambiguous,The pharmacy says prior approval is required; has my doctor submitted it?,prior_authorization,pharmacy,"The explicit question concerns authorization submission."
HC086,test,provider,ambiguous,The authorization was denied and we need to request reconsideration.,appeals,prior_authorization,"Reconsideration makes appeals the operational destination."
HC087,test,member,ambiguous,My infusion authorization is approved; I need to change the appointment.,infusion_therapy,prior_authorization,"Approval is complete and the requested action is infusion scheduling."
HC088,test,provider,ambiguous,The prescription is covered; which specialty pharmacy should dispense it?,pharmacy,benefits,"Coverage is established and the requested action is pharmacy fulfillment."
HC089,test,member,ambiguous,The hospital billed the plan; am I eligible on the service date?,eligibility,claims,"The explicit question is date-specific eligibility despite the claim context."
HC090,train,member,positive,I already received the service; did the billed charge become a claim?,claims,,The service occurred and the requested action concerns claim receipt.
HC091,train,provider,positive,The care was rendered; please check payment on our submitted claim,claims,,The provider asks about post-service claim payment.
HC092,train,provider,positive,A claim exists but we only need to verify enrollment on the date of care,eligibility,claims,The explicit action is date-specific eligibility verification.
HC093,train,member,positive,Was I enrolled when I received this service?,eligibility,,The member asks about eligibility on a past service date.
HC094,train,provider,positive,The infusion cannot be booked until the authorization number is issued,prior_authorization,infusion_therapy,Pre-service authorization is the blocking action.
HC095,train,member,positive,Has the plan approved my procedure before it takes place?,prior_authorization,benefits,The request is for approval before service.
HC096,train,member,positive,I know I am enrolled; does my plan cover this treatment?,benefits,eligibility,Enrollment is established and the question concerns covered benefits.
HC097,train,provider,positive,Is a second medical opinion covered under this member's benefits?,benefits,,The provider asks whether a service is covered.
HC098,train,member,positive,Which specialty pharmacy is required to dispense this prescription?,pharmacy,,The request concerns pharmacy fulfillment.
HC099,train,provider,positive,What refill limit applies to this medication?,pharmacy,,The provider asks about a pharmacy dispensing limit.
HC100,train,member,positive,My authorization is complete; help me arrange the infusion location,infusion_therapy,prior_authorization,Approval is complete and the requested action is infusion coordination.
HC101,train,provider,positive,Approval is on file; coordinate the infusion delivery and appointment,infusion_therapy,prior_authorization|pharmacy,The requested action is infusion-specific coordination.
HC102,train,member,positive,Please reconsider the decision not to cover my medicine,appeals,pharmacy|benefits,The member explicitly requests reconsideration.
HC103,train,provider,positive,We need to challenge the decision after the authorization was denied,appeals,prior_authorization,The provider explicitly requests a challenge to an adverse decision.
