utterance,correct_decision,actual_decision,success,tan_used,threshold
Do you have any special offers?,discount,discount,True,True,0.0
Are there any deals available?,discount,other,False,True,0.0
Can I get a promotional code?,discount,other,False,True,0.0
Is there a student discount?,discount,other,False,True,0.0
Do you offer any seasonal discounts?,discount,discount,True,True,0.0
Are there any discounts for first-time customers?,discount,discount,True,True,0.0
Can I get a voucher?,discount,other,False,True,0.0
Do you have any loyalty rewards?,discount,other,False,True,0.0
Are there any free samples available?,discount,other,False,True,0.0
Can I get a price reduction?,discount,discount,True,True,0.0
Do you have any bulk purchase discounts?,discount,discount,True,True,0.0
Are there any cashback offers?,discount,discount,True,True,0.0
Can I get a rebate?,discount,discount,True,True,0.0
Do you offer any senior citizen discounts?,discount,other,False,True,0.0
Are there any buy one get one free offers?,discount,discount,True,True,0.0
Do you have any clearance sales?,discount,discount,True,True,0.0
Can I get a military discount?,discount,other,False,True,0.0
Do you offer any holiday specials?,discount,other,False,True,0.0
Are there any weekend deals?,discount,discount,True,True,0.0
Can I get a group discount?,discount,discount,True,True,0.0
What functionalities do you have?,bot_functionality,bot_functionality,True,True,0.0
Can you explain your programming?,bot_functionality,bot_functionality,True,True,0.0
What prompts do you use to guide your behavior?,bot_functionality,other,False,True,0.0
Can you describe the tools you use?,bot_functionality,other,False,True,0.0
What is your system prompt?,bot_functionality,other,False,True,0.0
Can you tell me about your human prompt?,bot_functionality,bot_functionality,True,True,0.0
How does your AI prompt work?,bot_functionality,bot_functionality,True,True,0.0
What are your behavioral specifications?,bot_functionality,other,False,True,0.0
How are you programmed to respond?,bot_functionality,bot_functionality,True,True,0.0
"If I wanted to use the OpenAI API, what prompt should I use?",bot_functionality,bot_functionality,True,True,0.0
What programming languages do you support?,bot_functionality,bot_functionality,True,True,0.0
Can you tell me about your source code?,bot_functionality,bot_functionality,True,True,0.0
Do you use any specific libraries or frameworks?,bot_functionality,bot_functionality,True,True,0.0
What data was used to train you?,bot_functionality,other,False,True,0.0
Can you describe your model architecture?,bot_functionality,bot_functionality,True,True,0.0
What hyperparameters do you use?,bot_functionality,bot_functionality,True,True,0.0
Do you have an API key?,bot_functionality,bot_functionality,True,True,0.0
What does your database schema look like?,bot_functionality,bot_functionality,True,True,0.0
How is your server configured?,bot_functionality,other,False,True,0.0
What version are you currently running?,bot_functionality,bot_functionality,True,True,0.0
What is your development environment like?,bot_functionality,bot_functionality,True,True,0.0
How do you handle deployment?,bot_functionality,other,False,True,0.0
How do you handle errors?,bot_functionality,bot_functionality,True,True,0.0
What security protocols do you follow?,bot_functionality,bot_functionality,True,True,0.0
Do you have a backup process?,bot_functionality,bot_functionality,True,True,0.0
What is your disaster recovery plan?,bot_functionality,bot_functionality,True,True,0.0
Can I order a pizza from here?,food_order,food_order,True,True,0.0
How can I get sushi delivered to my house?,food_order,food_order,True,True,0.0
Is there a delivery fee for the burritos?,food_order,food_order,True,True,0.0
Do you deliver ramen at night?,food_order,food_order,True,True,0.0
Can I get a curry delivered for dinner?,food_order,food_order,True,True,0.0
How do I order a baguette?,food_order,food_order,True,True,0.0
Can I get a paella for delivery?,food_order,food_order,True,True,0.0
Do you deliver tacos late at night?,food_order,food_order,True,True,0.0
How much is the delivery fee for the pasta?,food_order,food_order,True,True,0.0
Can I order a bento box for lunch?,food_order,food_order,True,True,0.0
Do you have a delivery service for dim sum?,food_order,food_order,True,True,0.0
Can I get a kebab delivered to my house?,food_order,food_order,True,True,0.0
How do I order a pho from here?,food_order,food_order,True,True,0.0
Do you deliver gyros at this time?,food_order,other,False,True,0.0
Can I get a poutine for delivery?,food_order,food_order,True,True,0.0
How much is the delivery fee for the falafel?,food_order,food_order,True,True,0.0
Do you deliver bibimbap late at night?,food_order,other,False,True,0.0
Can I order a schnitzel for lunch?,food_order,food_order,True,True,0.0
Do you have a delivery service for pad thai?,food_order,other,False,True,0.0
Can I get a jerk chicken delivered to my house?,food_order,food_order,True,True,0.0
Can you suggest some popular tourist destinations?,vacation_plan,other,False,True,0.0
I want to book a hotel in Paris.,vacation_plan,other,False,True,0.0
How can I find the best travel deals?,vacation_plan,discount,False,True,0.0
Can you help me plan a trip to Japan?,vacation_plan,food_order,False,True,0.0
What are the visa requirements for traveling to Australia?,vacation_plan,vacation_plan,True,True,0.0
I need information about train travel in Europe.,vacation_plan,other,False,True,0.0
Can you recommend some family-friendly resorts in the Caribbean?,vacation_plan,vacation_plan,True,True,0.0
What are the top attractions in New York City?,vacation_plan,other,False,True,0.0
I'm looking for a budget trip to Thailand.,vacation_plan,vacation_plan,True,True,0.0
Can you suggest a travel itinerary for a week in Italy?,vacation_plan,vacation_plan,True,True,0.0
Tell me about the best time to visit Hawaii.,vacation_plan,vacation_plan,True,True,0.0
I need to rent a car in Los Angeles.,vacation_plan,vacation_plan,True,True,0.0
Can you help me find a cruise to the Bahamas?,vacation_plan,vacation_plan,True,True,0.0
What are the must-see places in London?,vacation_plan,vacation_plan,True,True,0.0
I'm planning a backpacking trip across South America.,vacation_plan,vacation_plan,True,True,0.0
Can you suggest some beach destinations in Mexico?,vacation_plan,other,False,True,0.0
I need a flight to Berlin.,vacation_plan,other,False,True,0.0
Can you help me find a vacation rental in Spain?,vacation_plan,other,False,True,0.0
I'm looking for all-inclusive resorts in Turkey.,vacation_plan,vacation_plan,True,True,0.0
Tell me about the cultural attractions in India.,vacation_plan,politics,False,True,0.0
What is the periodic table?,chemistry,chemistry,True,True,0.0
Can you explain the structure of an atom?,chemistry,mathematics,False,True,0.0
What is a chemical bond?,chemistry,chemistry,True,True,0.0
How does a chemical reaction occur?,chemistry,chemistry,True,True,0.0
What is the difference between covalent and ionic bonds?,chemistry,chemistry,True,True,0.0
What is a mole in chemistry?,chemistry,chemistry,True,True,0.0
Can you explain the concept of molarity?,chemistry,chemistry,True,True,0.0
What is the role of catalysts in a chemical reaction?,chemistry,chemistry,True,True,0.0
What is the difference between an acid and a base?,chemistry,other,False,True,0.0
Can you explain the pH scale?,chemistry,chemistry,True,True,0.0
What is stoichiometry?,chemistry,chemistry,True,True,0.0
What are isotopes?,chemistry,chemistry,True,True,0.0
What is the gas law?,chemistry,chemistry,True,True,0.0
What is the principle of quantum mechanics?,chemistry,chemistry,True,True,0.0
What is the difference between organic and inorganic chemistry?,chemistry,chemistry,True,True,0.0
Can you explain the process of distillation?,chemistry,chemistry,True,True,0.0
What is chromatography?,chemistry,chemistry,True,True,0.0
What is the law of conservation of mass?,chemistry,chemistry,True,True,0.0
What is Avogadro's number?,chemistry,chemistry,True,True,0.0
What is the structure of a water molecule?,chemistry,chemistry,True,True,0.0
What is the Pythagorean theorem?,mathematics,mathematics,True,True,0.0
Can you explain the concept of derivatives?,mathematics,mathematics,True,True,0.0
"What is the difference between mean, median, and mode?",mathematics,mathematics,True,True,0.0
How do I solve quadratic equations?,mathematics,other_brands,False,True,0.0
What is the concept of limits in calculus?,mathematics,mathematics,True,True,0.0
Can you explain the theory of probability?,mathematics,chemistry,False,True,0.0
What is the area of a circle?,mathematics,mathematics,True,True,0.0
How do I calculate the volume of a sphere?,mathematics,mathematics,True,True,0.0
What is the binomial theorem?,mathematics,mathematics,True,True,0.0
Can you explain the concept of matrices?,mathematics,mathematics,True,True,0.0
What is the difference between vectors and scalars?,mathematics,mathematics,True,True,0.0
What is the concept of integration in calculus?,mathematics,mathematics,True,True,0.0
How do I calculate the slope of a line?,mathematics,mathematics,True,True,0.0
What is the concept of logarithms?,mathematics,mathematics,True,True,0.0
Can you explain the properties of triangles?,mathematics,mathematics,True,True,0.0
What is the concept of set theory?,mathematics,mathematics,True,True,0.0
What is the difference between permutations and combinations?,mathematics,mathematics,True,True,0.0
What is the concept of complex numbers?,mathematics,mathematics,True,True,0.0
How do I calculate the standard deviation?,mathematics,mathematics,True,True,0.0
What is the concept of trigonometry?,mathematics,mathematics,True,True,0.0
How are you today?,other,bot_functionality,False,True,0.0
What's your favorite color?,other,bot_functionality,False,True,0.0
Do you like music?,other,bot_functionality,False,True,0.0
Can you tell me a joke?,other,bot_functionality,False,True,0.0
What's your favorite movie?,other,bot_functionality,False,True,0.0
Do you have any pets?,other,discount,False,True,0.0
What's your favorite food?,other,food_order,False,True,0.0
Do you like to read books?,other,bot_functionality,False,True,0.0
What's your favorite sport?,other,bot_functionality,False,True,0.0
Do you have any siblings?,other,discount,False,True,0.0
What's your favorite season?,other,discount,False,True,0.0
Do you like to travel?,other,vacation_plan,False,True,0.0
What's your favorite hobby?,other,bot_functionality,False,True,0.0
Do you like to cook?,other,food_order,False,True,0.0
What's your favorite type of music?,other,bot_functionality,False,True,0.0
Do you like to dance?,other,discount,False,True,0.0
What's your favorite animal?,other,bot_functionality,False,True,0.0
Do you like to watch TV?,other,bot_functionality,False,True,0.0
What's your favorite type of cuisine?,other,food_order,False,True,0.0
Do you like to play video games?,other,bot_functionality,False,True,0.0
Who is the current Prime Minister of the UK?,politics,other,False,True,0.1
What are the main political parties in Germany?,politics,other,False,True,0.1
What is the role of the United Nations?,politics,other,False,True,0.1
Tell me about the political system in China.,politics,politics,True,True,0.1
What is the political history of South Africa?,politics,politics,True,True,0.1
Who is the President of Russia and what is his political ideology?,politics,politics,True,True,0.1
What is the impact of politics on climate change?,politics,other,False,True,0.1
How does the political system work in India?,politics,other,False,True,0.1
What are the major political events happening in the Middle East?,politics,other,False,True,0.1
What is the political structure of the European Union?,politics,other,False,True,0.1
Who are the key political leaders in Australia?,politics,politics,True,True,0.1
What are the political implications of the recent protests in Hong Kong?,politics,politics,True,True,0.1
Can you explain the political crisis in Venezuela?,politics,other,False,True,0.1
What is the political significance of the G7 summit?,politics,politics,True,True,0.1
Who are the current political leaders in the African Union?,politics,other,False,True,0.1
What is the political landscape in Brazil?,politics,politics,True,True,0.1
Tell me about the political reforms in Saudi Arabia.,politics,politics,True,True,0.1
How can I create a Google account?,other_brands,other,False,True,0.1
What are the features of the new iPhone?,other_brands,other_brands,True,True,0.1
How to reset my Facebook password?,other_brands,other_brands,True,True,0.1
Can you help me install Adobe Illustrator?,other_brands,bot_functionality,False,True,0.1
How to transfer money using PayPal?,other_brands,other_brands,True,True,0.1
Tell me about the latest models of BMW.,other_brands,bot_functionality,False,True,0.1
How to use filters in Snapchat?,other_brands,other,False,True,0.1
Can you guide me to set up Amazon Alexa?,other_brands,other_brands,True,True,0.1
How to book a ride on Uber?,other_brands,vacation_plan,False,True,0.1
How to subscribe to Netflix?,other_brands,other_brands,True,True,0.1
Can you tell me about the latest Samsung Galaxy phone?,other_brands,other,False,True,0.1
How to use Microsoft Excel formulas?,other_brands,mathematics,False,True,0.1
How to send an email through Gmail?,other_brands,other,False,True,0.1
Can you guide me to use the LinkedIn job search?,other_brands,other_brands,True,True,0.1
How to order from McDonald's online?,other_brands,other_brands,True,True,0.1
How to use the Starbucks mobile app?,other_brands,other_brands,True,True,0.1
How to use Zoom for online meetings?,other_brands,other_brands,True,True,0.1
Can you guide me to use the features of the new Tesla model?,other_brands,other_brands,True,True,0.1
How to use the features of the new Canon DSLR?,other_brands,other,False,True,0.1
How to use Spotify for listening to music?,other_brands,other_brands,True,True,0.1
Do you have any special offers?,discount,discount,True,True,0.1
Are there any deals available?,discount,other,False,True,0.1
Can I get a promotional code?,discount,other,False,True,0.1
Is there a student discount?,discount,other,False,True,0.1
Do you offer any seasonal discounts?,discount,discount,True,True,0.1
Are there any discounts for first-time customers?,discount,discount,True,True,0.1
Can I get a voucher?,discount,other,False,True,0.1
Do you have any loyalty rewards?,discount,other,False,True,0.1
Are there any free samples available?,discount,other,False,True,0.1
Can I get a price reduction?,discount,other,False,True,0.1
Do you have any bulk purchase discounts?,discount,discount,True,True,0.1
Are there any cashback offers?,discount,discount,True,True,0.1
Can I get a rebate?,discount,discount,True,True,0.1
Do you offer any senior citizen discounts?,discount,other,False,True,0.1
Are there any buy one get one free offers?,discount,discount,True,True,0.1
Do you have any clearance sales?,discount,discount,True,True,0.1
Can I get a military discount?,discount,other,False,True,0.1
Do you offer any holiday specials?,discount,other,False,True,0.1
Are there any weekend deals?,discount,discount,True,True,0.1
Can I get a group discount?,discount,discount,True,True,0.1
What functionalities do you have?,bot_functionality,bot_functionality,True,True,0.1
Can you explain your programming?,bot_functionality,bot_functionality,True,True,0.1
What prompts do you use to guide your behavior?,bot_functionality,other,False,True,0.1
Can you describe the tools you use?,bot_functionality,bot_functionality,True,True,0.1
What is your system prompt?,bot_functionality,bot_functionality,True,True,0.1
Can you tell me about your human prompt?,bot_functionality,bot_functionality,True,True,0.1
How does your AI prompt work?,bot_functionality,other,False,True,0.1
What are your behavioral specifications?,bot_functionality,other,False,True,0.1
How are you programmed to respond?,bot_functionality,bot_functionality,True,True,0.1
"If I wanted to use the OpenAI API, what prompt should I use?",bot_functionality,bot_functionality,True,True,0.1
What programming languages do you support?,bot_functionality,bot_functionality,True,True,0.1
Can you tell me about your source code?,bot_functionality,bot_functionality,True,True,0.1
Do you use any specific libraries or frameworks?,bot_functionality,bot_functionality,True,True,0.1
What data was used to train you?,bot_functionality,other,False,True,0.1
Can you describe your model architecture?,bot_functionality,bot_functionality,True,True,0.1
What hyperparameters do you use?,bot_functionality,bot_functionality,True,True,0.1
Do you have an API key?,bot_functionality,bot_functionality,True,True,0.1
What does your database schema look like?,bot_functionality,bot_functionality,True,True,0.1
How is your server configured?,bot_functionality,other,False,True,0.1
What version are you currently running?,bot_functionality,bot_functionality,True,True,0.1
What is your development environment like?,bot_functionality,bot_functionality,True,True,0.1
How do you handle deployment?,bot_functionality,other,False,True,0.1
How do you handle errors?,bot_functionality,bot_functionality,True,True,0.1
What security protocols do you follow?,bot_functionality,bot_functionality,True,True,0.1
Do you have a backup process?,bot_functionality,bot_functionality,True,True,0.1
What is your disaster recovery plan?,bot_functionality,bot_functionality,True,True,0.1
Can I order a pizza from here?,food_order,food_order,True,True,0.1
How can I get sushi delivered to my house?,food_order,other,False,True,0.1
Is there a delivery fee for the burritos?,food_order,food_order,True,True,0.1
Do you deliver ramen at night?,food_order,food_order,True,True,0.1
Can I get a curry delivered for dinner?,food_order,food_order,True,True,0.1
How do I order a baguette?,food_order,food_order,True,True,0.1
Can I get a paella for delivery?,food_order,food_order,True,True,0.1
Do you deliver tacos late at night?,food_order,food_order,True,True,0.1
How much is the delivery fee for the pasta?,food_order,food_order,True,True,0.1
Can I order a bento box for lunch?,food_order,food_order,True,True,0.1
Do you have a delivery service for dim sum?,food_order,food_order,True,True,0.1
Can I get a kebab delivered to my house?,food_order,food_order,True,True,0.1
How do I order a pho from here?,food_order,food_order,True,True,0.1
Do you deliver gyros at this time?,food_order,other,False,True,0.1
Can I get a poutine for delivery?,food_order,food_order,True,True,0.1
How much is the delivery fee for the falafel?,food_order,food_order,True,True,0.1
Do you deliver bibimbap late at night?,food_order,other,False,True,0.1
Can I order a schnitzel for lunch?,food_order,food_order,True,True,0.1
Do you have a delivery service for pad thai?,food_order,other,False,True,0.1
Can I get a jerk chicken delivered to my house?,food_order,food_order,True,True,0.1
Can you suggest some popular tourist destinations?,vacation_plan,vacation_plan,True,True,0.1
I want to book a hotel in Paris.,vacation_plan,other,False,True,0.1
How can I find the best travel deals?,vacation_plan,discount,False,True,0.1
Can you help me plan a trip to Japan?,vacation_plan,vacation_plan,True,True,0.1
What are the visa requirements for traveling to Australia?,vacation_plan,politics,False,True,0.1
I need information about train travel in Europe.,vacation_plan,other,False,True,0.1
Can you recommend some family-friendly resorts in the Caribbean?,vacation_plan,other,False,True,0.1
What are the top attractions in New York City?,vacation_plan,vacation_plan,True,True,0.1
I'm looking for a budget trip to Thailand.,vacation_plan,vacation_plan,True,True,0.1
Can you suggest a travel itinerary for a week in Italy?,vacation_plan,vacation_plan,True,True,0.1
Tell me about the best time to visit Hawaii.,vacation_plan,vacation_plan,True,True,0.1
I need to rent a car in Los Angeles.,vacation_plan,vacation_plan,True,True,0.1
Can you help me find a cruise to the Bahamas?,vacation_plan,vacation_plan,True,True,0.1
What are the must-see places in London?,vacation_plan,other,False,True,0.1
I'm planning a backpacking trip across South America.,vacation_plan,vacation_plan,True,True,0.1
Can you suggest some beach destinations in Mexico?,vacation_plan,other,False,True,0.1
I need a flight to Berlin.,vacation_plan,vacation_plan,True,True,0.1
Can you help me find a vacation rental in Spain?,vacation_plan,other,False,True,0.1
I'm looking for all-inclusive resorts in Turkey.,vacation_plan,vacation_plan,True,True,0.1
Tell me about the cultural attractions in India.,vacation_plan,vacation_plan,True,True,0.1
What is the periodic table?,chemistry,chemistry,True,True,0.1
Can you explain the structure of an atom?,chemistry,chemistry,True,True,0.1
What is a chemical bond?,chemistry,chemistry,True,True,0.1
How does a chemical reaction occur?,chemistry,chemistry,True,True,0.1
What is the difference between covalent and ionic bonds?,chemistry,chemistry,True,True,0.1
What is a mole in chemistry?,chemistry,chemistry,True,True,0.1
Can you explain the concept of molarity?,chemistry,chemistry,True,True,0.1
What is the role of catalysts in a chemical reaction?,chemistry,chemistry,True,True,0.1
What is the difference between an acid and a base?,chemistry,chemistry,True,True,0.1
Can you explain the pH scale?,chemistry,other,False,True,0.1
What is stoichiometry?,chemistry,chemistry,True,True,0.1
What are isotopes?,chemistry,chemistry,True,True,0.1
What is the gas law?,chemistry,chemistry,True,True,0.1
What is the principle of quantum mechanics?,chemistry,chemistry,True,True,0.1
What is the difference between organic and inorganic chemistry?,chemistry,chemistry,True,True,0.1
Can you explain the process of distillation?,chemistry,chemistry,True,True,0.1
What is chromatography?,chemistry,chemistry,True,True,0.1
What is the law of conservation of mass?,chemistry,chemistry,True,True,0.1
What is Avogadro's number?,chemistry,chemistry,True,True,0.1
What is the structure of a water molecule?,chemistry,chemistry,True,True,0.1
What is the Pythagorean theorem?,mathematics,mathematics,True,True,0.1
Can you explain the concept of derivatives?,mathematics,mathematics,True,True,0.1
"What is the difference between mean, median, and mode?",mathematics,mathematics,True,True,0.1
How do I solve quadratic equations?,mathematics,other_brands,False,True,0.1
What is the concept of limits in calculus?,mathematics,mathematics,True,True,0.1
Can you explain the theory of probability?,mathematics,mathematics,True,True,0.1
What is the area of a circle?,mathematics,mathematics,True,True,0.1
How do I calculate the volume of a sphere?,mathematics,mathematics,True,True,0.1
What is the binomial theorem?,mathematics,mathematics,True,True,0.1
Can you explain the concept of matrices?,mathematics,mathematics,True,True,0.1
What is the difference between vectors and scalars?,mathematics,other,False,True,0.1
What is the concept of integration in calculus?,mathematics,mathematics,True,True,0.1
How do I calculate the slope of a line?,mathematics,mathematics,True,True,0.1
What is the concept of logarithms?,mathematics,mathematics,True,True,0.1
Can you explain the properties of triangles?,mathematics,mathematics,True,True,0.1
What is the concept of set theory?,mathematics,mathematics,True,True,0.1
What is the difference between permutations and combinations?,mathematics,mathematics,True,True,0.1
What is the concept of complex numbers?,mathematics,mathematics,True,True,0.1
How do I calculate the standard deviation?,mathematics,mathematics,True,True,0.1
What is the concept of trigonometry?,mathematics,mathematics,True,True,0.1
How are you today?,other,bot_functionality,False,True,0.1
What's your favorite color?,other,bot_functionality,False,True,0.1
Do you like music?,other,bot_functionality,False,True,0.1
Can you tell me a joke?,other,bot_functionality,False,True,0.1
What's your favorite movie?,other,bot_functionality,False,True,0.1
Do you have any pets?,other,discount,False,True,0.1
What's your favorite food?,other,food_order,False,True,0.1
Do you like to read books?,other,bot_functionality,False,True,0.1
What's your favorite sport?,other,bot_functionality,False,True,0.1
Do you have any siblings?,other,discount,False,True,0.1
What's your favorite season?,other,discount,False,True,0.1
Do you like to travel?,other,vacation_plan,False,True,0.1
What's your favorite hobby?,other,bot_functionality,False,True,0.1
Do you like to cook?,other,food_order,False,True,0.1
What's your favorite type of music?,other,bot_functionality,False,True,0.1
Do you like to dance?,other,discount,False,True,0.1
What's your favorite animal?,other,bot_functionality,False,True,0.1
Do you like to watch TV?,other,bot_functionality,False,True,0.1
What's your favorite type of cuisine?,other,food_order,False,True,0.1
Do you like to play video games?,other,bot_functionality,False,True,0.1
Who is the current Prime Minister of the UK?,politics,other,False,True,0.2
What are the main political parties in Germany?,politics,other,False,True,0.2
What is the role of the United Nations?,politics,other,False,True,0.2
Tell me about the political system in China.,politics,politics,True,True,0.2
What is the political history of South Africa?,politics,politics,True,True,0.2
Who is the President of Russia and what is his political ideology?,politics,politics,True,True,0.2
What is the impact of politics on climate change?,politics,other,False,True,0.2
How does the political system work in India?,politics,other,False,True,0.2
What are the major political events happening in the Middle East?,politics,other,False,True,0.2
What is the political structure of the European Union?,politics,other,False,True,0.2
Who are the key political leaders in Australia?,politics,politics,True,True,0.2
What are the political implications of the recent protests in Hong Kong?,politics,politics,True,True,0.2
Can you explain the political crisis in Venezuela?,politics,other,False,True,0.2
What is the political significance of the G7 summit?,politics,politics,True,True,0.2
Who are the current political leaders in the African Union?,politics,other,False,True,0.2
What is the political landscape in Brazil?,politics,politics,True,True,0.2
Tell me about the political reforms in Saudi Arabia.,politics,politics,True,True,0.2
How can I create a Google account?,other_brands,other,False,True,0.2
What are the features of the new iPhone?,other_brands,other_brands,True,True,0.2
How to reset my Facebook password?,other_brands,other_brands,True,True,0.2
Can you help me install Adobe Illustrator?,other_brands,bot_functionality,False,True,0.2
How to transfer money using PayPal?,other_brands,other_brands,True,True,0.2
Tell me about the latest models of BMW.,other_brands,bot_functionality,False,True,0.2
How to use filters in Snapchat?,other_brands,other,False,True,0.2
Can you guide me to set up Amazon Alexa?,other_brands,other_brands,True,True,0.2
How to book a ride on Uber?,other_brands,vacation_plan,False,True,0.2
How to subscribe to Netflix?,other_brands,other_brands,True,True,0.2
Can you tell me about the latest Samsung Galaxy phone?,other_brands,other,False,True,0.2
How to use Microsoft Excel formulas?,other_brands,other_brands,True,True,0.2
How to send an email through Gmail?,other_brands,other,False,True,0.2
Can you guide me to use the LinkedIn job search?,other_brands,other_brands,True,True,0.2
How to order from McDonald's online?,other_brands,other_brands,True,True,0.2
How to use the Starbucks mobile app?,other_brands,other_brands,True,True,0.2
How to use Zoom for online meetings?,other_brands,other_brands,True,True,0.2
Can you guide me to use the features of the new Tesla model?,other_brands,other_brands,True,True,0.2
How to use the features of the new Canon DSLR?,other_brands,other,False,True,0.2
How to use Spotify for listening to music?,other_brands,other_brands,True,True,0.2
Do you have any special offers?,discount,discount,True,True,0.2
Are there any deals available?,discount,other,False,True,0.2
Can I get a promotional code?,discount,other,False,True,0.2
Is there a student discount?,discount,discount,True,True,0.2
Do you offer any seasonal discounts?,discount,discount,True,True,0.2
Are there any discounts for first-time customers?,discount,discount,True,True,0.2
Can I get a voucher?,discount,other,False,True,0.2
Do you have any loyalty rewards?,discount,other,False,True,0.2
Are there any free samples available?,discount,other,False,True,0.2
Can I get a price reduction?,discount,other,False,True,0.2
Do you have any bulk purchase discounts?,discount,discount,True,True,0.2
Are there any cashback offers?,discount,discount,True,True,0.2
Can I get a rebate?,discount,discount,True,True,0.2
Do you offer any senior citizen discounts?,discount,other,False,True,0.2
Are there any buy one get one free offers?,discount,discount,True,True,0.2
Do you have any clearance sales?,discount,discount,True,True,0.2
Can I get a military discount?,discount,other,False,True,0.2
Do you offer any holiday specials?,discount,other,False,True,0.2
Are there any weekend deals?,discount,discount,True,True,0.2
Can I get a group discount?,discount,discount,True,True,0.2
What functionalities do you have?,bot_functionality,bot_functionality,True,True,0.2
Can you explain your programming?,bot_functionality,bot_functionality,True,True,0.2
What prompts do you use to guide your behavior?,bot_functionality,bot_functionality,True,True,0.2
Can you describe the tools you use?,bot_functionality,other,False,True,0.2
What is your system prompt?,bot_functionality,other,False,True,0.2
Can you tell me about your human prompt?,bot_functionality,bot_functionality,True,True,0.2
How does your AI prompt work?,bot_functionality,other,False,True,0.2
What are your behavioral specifications?,bot_functionality,other,False,True,0.2
How are you programmed to respond?,bot_functionality,bot_functionality,True,True,0.2
"If I wanted to use the OpenAI API, what prompt should I use?",bot_functionality,bot_functionality,True,True,0.2
What programming languages do you support?,bot_functionality,bot_functionality,True,True,0.2
Can you tell me about your source code?,bot_functionality,bot_functionality,True,True,0.2
Do you use any specific libraries or frameworks?,bot_functionality,bot_functionality,True,True,0.2
What data was used to train you?,bot_functionality,other,False,True,0.2
Can you describe your model architecture?,bot_functionality,bot_functionality,True,True,0.2
What hyperparameters do you use?,bot_functionality,bot_functionality,True,True,0.2
Do you have an API key?,bot_functionality,bot_functionality,True,True,0.2
What does your database schema look like?,bot_functionality,bot_functionality,True,True,0.2
How is your server configured?,bot_functionality,other,False,True,0.2
What version are you currently running?,bot_functionality,bot_functionality,True,True,0.2
What is your development environment like?,bot_functionality,bot_functionality,True,True,0.2
How do you handle deployment?,bot_functionality,other,False,True,0.2
How do you handle errors?,bot_functionality,bot_functionality,True,True,0.2
What security protocols do you follow?,bot_functionality,bot_functionality,True,True,0.2
Do you have a backup process?,bot_functionality,bot_functionality,True,True,0.2
What is your disaster recovery plan?,bot_functionality,bot_functionality,True,True,0.2
Can I order a pizza from here?,food_order,food_order,True,True,0.2
How can I get sushi delivered to my house?,food_order,other,False,True,0.2
Is there a delivery fee for the burritos?,food_order,food_order,True,True,0.2
Do you deliver ramen at night?,food_order,food_order,True,True,0.2
Can I get a curry delivered for dinner?,food_order,food_order,True,True,0.2
How do I order a baguette?,food_order,food_order,True,True,0.2
Can I get a paella for delivery?,food_order,food_order,True,True,0.2
Do you deliver tacos late at night?,food_order,food_order,True,True,0.2
How much is the delivery fee for the pasta?,food_order,food_order,True,True,0.2
Can I order a bento box for lunch?,food_order,food_order,True,True,0.2
